TPROP	MIG12	NANC	MaxObsLhood	NPOP2	MIG21	TDIV	NPOP1	ISO	MaxEstLhood	source	group	params	AIC
0.000388354	0.0003462	44492	-234039.183	194514	0.0000996548	23012	55603	9	-234102.378	./5_PNG_WETTROPICS_m3_ancient_migration_rep52/5_PNG_WETTROPICS_m3_ancient_migration_rep52.bestlhoods	5_PNG_WETTROPICS_m3_ancient_migration	10	1078101.29163451
0.3388041	0.000387879	42450	-234039.183	193300	0.000100167	23817	51394	8069	-234102.713	./5_PNG_WETTROPICS_m4_recent_migration_rep17/5_PNG_WETTROPICS_m4_recent_migration_rep17.bestlhoods	5_PNG_WETTROPICS_m4_recent_migration	10	1078102.83436653
NA	NA	10	-160335.741	10	NA	10	10	NA	-318903670.891	./6_INDO_NAUS_m1_strict_isolation_rep28/6_INDO_NAUS_m1_strict_isolation_rep28.bestlhoods	6_INDO_NAUS_m1_strict_isolation	4	1468605685.38939
NA	0.0000276496	43223	-160335.741	191994	0.0000584044	37223	24801	NA	-160383.208	./6_INDO_NAUS_m2_constant_migration_rep12/6_INDO_NAUS_m2_constant_migration_rep12.bestlhoods	6_INDO_NAUS_m2_constant_migration	8	738607.967814727
0.000244048	0.0000644422	43121	-160335.741	189542	0.00002816	38555	22723	9	-160382.092	./6_INDO_NAUS_m3_ancient_migration_rep40/6_INDO_NAUS_m3_ancient_migration_rep40.bestlhoods	6_INDO_NAUS_m3_ancient_migration	10	738606.828444799
0.4901276	0.0000723801	45567	-160335.741	194259	0.0000262039	34993	22036	17151	-160383.857	./6_INDO_NAUS_m4_recent_migration_rep5/6_INDO_NAUS_m4_recent_migration_rep5.bestlhoods	6_INDO_NAUS_m4_recent_migration	10	738614.956570177
NA	NA	10	-175917.273	10	NA	10	10	NA	-320281622.605	./7_INDO_NQ_m1_strict_isolation_rep63/7_INDO_NQ_m1_strict_isolation_rep63.bestlhoods	7_INDO_NQ_m1_strict_isolation	4	1474951387.54044
NA	0.0000245938	43642	-175917.273	209497	0.0000449167	41283	26108	NA	-175976.181	./7_INDO_NQ_m2_constant_migration_rep13/7_INDO_NQ_m2_constant_migration_rep13.bestlhoods	7_INDO_NQ_m2_constant_migration	8	810416.262185244
0.0015402	0.0000492375	43655	-175917.273	206972	0.000021583	39700	25661	61	-175975.142	./7_INDO_NQ_m3_ancient_migration_rep9/7_INDO_NQ_m3_ancient_migration_rep9.bestlhoods	7_INDO_NQ_m3_ancient_migration	10	810415.477413421
0.4818842	0.0000577385	44114	-175917.273	214627	0.0000217937	38573	22878	18588	-175971.819	./7_INDO_NQ_m4_recent_migration_rep30/7_INDO_NQ_m4_recent_migration_rep30.bestlhoods	7_INDO_NQ_m4_recent_migration	10	810400.174432893
NA	NA	10	-182163.694	10	NA	10	10	NA	-332300172.76	./8_INDO_ECOAST_m1_strict_isolation_rep58/8_INDO_ECOAST_m1_strict_isolation_rep58.bestlhoods	8_INDO_ECOAST_m1_strict_isolation	4	1530298856.39304
NA	0.0000212883	41071	-182163.694	160044	0.0000341812	44307	30343	NA	-182233.821	./8_INDO_ECOAST_m2_constant_migration_rep6/8_INDO_ECOAST_m2_constant_migration_rep6.bestlhoods	8_INDO_ECOAST_m2_constant_migration	8	839233.759347891
0.0059386	0.0000392215	43976	-182163.694	166628	0.0000193423	41258	28322	245	-182227.855	./8_INDO_ECOAST_m3_ancient_migration_rep14/8_INDO_ECOAST_m3_ancient_migration_rep14.bestlhoods	8_INDO_ECOAST_m3_ancient_migration	10	839210.284902561
0.4861366	0.0000415832	43340	-182163.694	163526	0.0000190856	41815	27739	20328	-182236.404	./8_INDO_ECOAST_m4_recent_migration_rep5/8_INDO_ECOAST_m4_recent_migration_rep5.bestlhoods	8_INDO_ECOAST_m4_recent_migration	10	839249.654502481
NA	NA	10	-189393.864	10	NA	10	10	NA	-332491184.39	./9_INDO_WETTROPICS_m1_strict_isolation_rep89/9_INDO_WETTROPICS_noadmx_m1_strict_isolation_rep89.bestlhoods	9_INDO_WETTROPICS_noadmx_m1_strict_isolation	4	1531178497.4567
NA	0.0000057771	41037	-189393.864	164223	0.0000114007	39698	42458	NA	-190037.656	./9_INDO_WETTROPICS_m2_constant_migration_rep96/9_INDO_WETTROPICS_noadmx_m2_constant_migration_rep96.bestlhoods	9_INDO_WETTROPICS_noadmx_m2_constant_migration	8	875171.747626261
0.000560968	0.000011344	40484	-189393.864	165106	0.00000557809	40872	41412	23	-190038.877	./9_INDO_WETTROPICS_m3_ancient_migration_rep69/9_INDO_WETTROPICS_noadmx_m3_ancient_migration_rep69.bestlhoods	9_INDO_WETTROPICS_noadmx_m3_ancient_migration	10	875181.370539058
0.3022455	0.0000153014	42660	-189393.864	167714	0.00000689129	36041	42866	10893	-189956.823	./9_INDO_WETTROPICS_m4_recent_migration_rep63/9_INDO_WETTROPICS_noadmx_m4_recent_migration_rep63.bestlhoods	9_INDO_WETTROPICS_noadmx_m4_recent_migration	10	874803.497904617
